Brand,Name,Capacity (GB),Speed (MHz),DDR,Price,URL,Timestamp
XPG, Lancer Blade RGB,32,6000,DDR5,489,https://brightstarcomp.com/collections/pc-components/products/adata-xpg-lancer-blade-rgb-32gb-1x32gb-6000mhz-ddr5-dimm-memory-white?_pos=20&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,16GB,16,3200,DDR4,139,https://brightstarcomp.com/collections/pc-components/products/adata-16gb-1x16gb-3200mhz-ddr4-dimm-memory?_pos=5&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,16GB,16,5600,DDR5,199,https://brightstarcomp.com/collections/pc-components/products/adata-16gb-1x16gb-5600mhz-ddr5-dimm-memory?_pos=7&_fid=03913363d&_ss=c,2025-03-18 22:10:57
Kingston,16GB,16,3200,DDR4,129,https://brightstarcomp.com/collections/pc-components/products/kingston-16gb-1x16gb-3200mhz-ddr4-dimm-memory?_pos=85&_fid=03913363d&_ss=c,2025-03-18 22:11:01
ADATA,32GB,32,3200,DDR4,249,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-3200mhz-ddr4-dimm-memory?_pos=8&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,32GB,32,4800,DDR5,369,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-4800mhz-ddr5-dimm-memory?_pos=10&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,32GB,32,5600,DDR5,389,https://brightstarcomp.com/collections/pc-components/products/adata-32gb-1x32gb-5600mhz-ddr5-dimm-memory?_pos=11&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,4GB,4,2666,DDR4,49,https://brightstarcomp.com/collections/pc-components/products/adata-4gb-1x4gb-2666mhz-ddr4-dimm-memory?_pos=12&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,3200,DDR4,79,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-3200mhz-ddr4-dimm-memory?_pos=14&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,4800,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-4800mhz-ddr5-dimm-memory?_pos=16&_fid=03913363d&_ss=c,2025-03-18 22:10:57
ADATA,8GB,8,5600,DDR5,159,https://brightstarcomp.com/collections/pc-components/products/adata-8gb-1x8gb-5600mhz-ddr5-dimm-memory?_pos=17&_fid=03913363d&_ss=c,2025-03-18 22:10:57
Kingston,8GB,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/kingston-8gb-1x8gb-3200mhz-ddr4-dimm-memory-1?_pos=88&_fid=03913363d&_ss=c,2025-03-18 22:11:01
KLEVV,CRAS XR RGB,8,3600,DDR4,119,,2025-01-05 00:00:00
KLEVV,CRAS XR RGB,8,3600,DDR4,215,,2025-01-05 00:00:00
Kingston,DDR4,4,2666,DDR4,30,,2025-01-05 00:00:00
Kingston,DDR4,8,3200,DDR4,59,,2025-01-05 00:00:00
Samsung,DDR4,4,3200,DDR4,37,,2025-01-05 00:00:00
Samsung,DDR4,8,3200,DDR4,66,,2025-01-05 00:00:00
Samsung,DDR4,16,3200,DDR4,148,,2025-01-05 00:00:00
Transcend,DDR4,8,3200,DDR4,79,https://brightstarcomp.com/collections/pc-components/products/transcend-ddr4-3200-unbuffered-long-dimm-memory?_pos=144&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Transcend,DDR5,8,4800,DDR5,99,https://brightstarcomp.com/collections/pc-components/products/transcend-ddr5-4800-u-dimm-desktop-memory?_pos=146&_fid=26024e9c4&_ss=c,2025-03-18 22:11:04
Lexar,Desktop Memory DDR4,16,3200,DDR4,129,https://brightstarcomp.com/collections/pc-components/products/lexar-desktop-memory-ddr4-16gb-3200mhz?_pos=135&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
PNY,Desktop Memory DDR4,4,2666,DDR4,49,https://brightstarcomp.com/collections/pc-components/products/pny-desktop-memory-ddr4-4gb-2666mhz-memory?_pos=139&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Kingston,Fury Beast,16,3200,DDR4,139,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=90&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,5200,DDR5,199,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-5200mhz-ddr5-dimm-memory-black?_pos=91&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,6000,DDR5,239,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-6000mhz-ddr5-dimm-memory-black?_pos=92&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,16,6000,DDR5,239,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-16gb-1x16gb-6000mhz-ddr5-dimm-memory-black-eol?_pos=93&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,3200,DDR4,249,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-3200mhz-ddr4-dimm-memory-black?_pos=95&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,5200,DDR5,379,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-5200mhz-ddr5-dimm-memory-black?_pos=96&_fid=03913363d&_ss=c,2025-03-18 22:11:01
Kingston,Fury Beast,32,6000,DDR5,439,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-32gb-1x32gb-6000mhz-ddr5-dimm-memory-black?_pos=97&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black?_pos=103&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,4800,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-4800mhz-ddr5-dimm-memory-black?_pos=104&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,5200,DDR5,129,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-5200mhz-ddr5-dimm-memory-black?_pos=105&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast,8,6000,DDR5,139,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-8gb-1x8gb-6000mhz-ddr5-dimm-memory-black?_pos=106&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,16,3200,DDR4,169,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=107&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,16,3600,DDR4,179,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-16gb-1x16gb-3600mhz-ddr4-dimm-memory-black?_pos=108&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,16,5200,DDR5,229,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-16gb-1x16gb-5200mhz-ddr5-cl36-dimm-memory-black?_pos=109&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,16,6000,DDR5,269,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-16gb-1x16gb-6000mhz-ddr5-dimm-memory-black?_pos=111&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,32,3200,DDR4,269,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-32gb-1x32gb-3200mhz-ddr4-dimm-memory-black?_pos=114&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,32,5200,DDR5,399,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-32gb-1x32gb-5200mhz-ddr5-dimm-memory-black?_pos=115&_fid=26024e9c4&_ss=c,2025-03-18 22:11:02
Kingston,Fury Beast RGB,8,3200,DDR4,109,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black?_pos=124&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Kingston,Fury Beast RGB,8,5200,DDR5,139,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-8gb-1x8gb-5200mhz-ddr5-dimm-memory-black?_pos=125&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Kingston,Fury Beast RGB,8,6000,DDR5,159,https://brightstarcomp.com/collections/pc-components/products/kingston-fury-beast-rgb-8gb-1x8gb-6000mhz-ddr5-dimm-memory-black?_pos=126&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
XPG,GAMMIX D35,8,3200,DDR4,77,,2025-01-05 00:00:00
Kingston,HyperX FURY,4,2666,DDR4,47,,2025-01-05 00:00:00
Kingston,HyperX FURY,8,2666,DDR4,79,,2025-01-05 00:00:00
Kingston,HyperX FURY,8,3200,DDR4,82,,2025-01-05 00:00:00
Kingston,HyperX FURY,16,2666,DDR4,121,,2025-01-05 00:00:00
Kingston,HyperX FURY,16,3200,DDR4,122,,2025-01-05 00:00:00
Kingston,KVR,8,4800,DDR5,109,https://czone.my/czone/kingston-kvr-ddr5.html,2025-03-19 14:21:11
Kingston,KVR,16,4800,DDR5,195,https://czone.my/czone/kingston-kvr-ddr5.html,2025-03-19 14:21:11
Kingston,KVR,32,4800,DDR5,349,https://czone.my/czone/kingston-kvr-ddr5.html,2025-03-19 14:21:11
XPG,Lancer Blade,16,6000,DDR5,279,https://brightstarcomp.com/collections/pc-components/products/xpg-lancer-blade-ddr5-16gb-6000mhz-rgb-gaming-memory?_pos=148&_fid=26024e9c4&_ss=c,2025-03-18 22:11:04
XPG,Lancer RGB,16,5200,DDR5,219,https://brightstarcomp.com/collections/pc-components/products/adata-xpg-lancer-rgb-16gb-1x16gb-5200mhz-ddr5-dimm-memory-black?_pos=23&_fid=03913363d&_ss=c,2025-03-18 22:10:57
XPG,Lancer RGB,16,6000,DDR5,279,https://brightstarcomp.com/collections/pc-components/products/adata-xpg-lancer-rgb-16gb-1x16gb-6000mhz-ddr5-dimm-memory-white?_pos=24&_fid=03913363d&_ss=c,2025-03-18 22:10:57
XPG,Lancer RGB,16,6000,DDR5,279,https://brightstarcomp.com/collections/pc-components/products/xpg-lancer-rgb-ddr5-16gb-gaming-memory-6000mhz-black?_pos=151&_fid=26024e9c4&_ss=c,2025-03-18 22:11:04
Apacer,NOX,8,3200,DDR4,94,,2025-01-05 00:00:00
Apacer,NOX,16,3200,DDR4,174,,2025-01-05 00:00:00
Apacer,NOX,8,5200,DDR5,109,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-ddr5-5200mhz-gaming-memory-8gb-16gb?_pos=31&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Apacer,NOX,16,5200,DDR5,179,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-ddr5-5200mhz-gaming-memory-8gb-16gb?_pos=31&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Apacer,NOX RGB,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-ddr4-3200mhz-gaming-memory-8gb-16gb?_pos=30&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Apacer,NOX RGB,16,3200,DDR4,119,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-ddr4-3200mhz-gaming-memory-8gb-16gb?_pos=30&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Apacer,NOX RGB,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-rgb-ddr4-3200mhz-gaming-memory-3200mhz-8gb-16gb?_pos=32&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Apacer,NOX RGB,16,3200,DDR4,149,https://brightstarcomp.com/collections/pc-components/products/apacer-nox-rgb-ddr4-3200mhz-gaming-memory-3200mhz-8gb-16gb?_pos=32&_fid=03913363d&_ss=c,2025-03-18 22:10:59
XPG,SPECTRIX D35G,8,3200,DDR4,82,,2025-01-05 00:00:00
XPG,SPECTRIX D35G,16,3200,DDR4,148,,2025-01-05 00:00:00
XPG,Spectrix D35G RGB,8,3200,DDR4,99,https://brightstarcomp.com/products/xpg-spectrix-d35g-ddr4-rgb-3200mhz-gaming-memory-8gb-16gb-32gb?variant=43242600595503,2025-03-18 22:11:04
XPG,Spectrix D35G RGB,16,3200,DDR4,159,https://brightstarcomp.com/products/xpg-spectrix-d35g-ddr4-rgb-3200mhz-gaming-memory-8gb-16gb-32gb?variant=43242600398895,2025-03-18 22:11:04
XPG,SPECTRIX D50,8,3200,DDR4,99,,2025-01-05 00:00:00
XPG,SPECTRIX D50,8,3600,DDR4,101,,2025-01-05 00:00:00
XPG,SPECTRIX D50,16,3200,DDR4,172,,2025-01-05 00:00:00
XPG,SPECTRIX D50,16,3600,DDR4,175,,2025-01-05 00:00:00
Fanxiang,UD01,8,3200,DDR4,61,,2025-01-05 00:00:00
Fanxiang,UD01,8,3600,DDR4,70,,2025-01-05 00:00:00
Fanxiang,UD01,16,3200,DDR4,115,,2025-01-05 00:00:00
Fanxiang,UD01,16,3600,DDR4,125,,2025-01-05 00:00:00
Corsair,Vengeance,8,3200,DDR4,119,,2025-01-05 00:00:00
Corsair,Vengeance,8,3600,DDR4,135,,2025-01-05 00:00:00
Corsair,Vengeance,16,3200,DDR4,127,,2025-01-05 00:00:00
Corsair,Vengeance,16,3600,DDR4,145,,2025-01-05 00:00:00
Corsair,Vengeance LPX,16,3200,DDR4,149,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-lpx-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=42&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Corsair,Vengeance LPX,8,3200,DDR4,99,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-lpx-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black?_pos=47&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Corsair,Vengeance LPX,8,3600,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-lpx-8gb-1x8gb-3600mhz-ddr4-dimm-memory-black?_pos=48&_fid=03913363d&_ss=c,2025-03-18 22:10:59
Corsair,Vengeance RGB RS,16,3200,DDR4,179,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-rgb-rs-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=58&_fid=03913363d&_ss=c,2025-03-18 22:11:00
Corsair,Vengeance RGB RS,8,3200,DDR4,119,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-rgb-rs-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black?_pos=63&_fid=03913363d&_ss=c,2025-03-18 22:11:00
Corsair,Vengeance RGB RS,8,3600,DDR4,99,https://brightstarcomp.com/collections/pc-components/products/corsair-vengeance-rgb-rs-8gb-1x8gb-3600mhz-ddr4-dimm-memory-black?_pos=64&_fid=03913363d&_ss=c,2025-03-18 22:11:00
Patriot,Viper Steel,8,3200,DDR4,79,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-ddr4-gaming-memory?_pos=136&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Patriot,Viper Steel,16,3200,DDR4,119,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-ddr4-gaming-memory?_pos=136&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Patriot,Viper Steel RGB,8,3200,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-rgb-ddr4-gaming-memory?_pos=137&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Patriot,Viper Steel RGB,16,3200,DDR4,139,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-rgb-ddr4-gaming-memory?_pos=137&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Patriot,Viper Steel RGB,8,3600,DDR4,89,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-rgb-ddr4-gaming-memory-3600mhz?_pos=138&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
Patriot,Viper Steel RGB,16,3600,DDR4,159,https://brightstarcomp.com/collections/pc-components/products/patriot-viper-steel-rgb-ddr4-gaming-memory-3600mhz?_pos=138&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
PNY,XLR8 Gaming EPIC-X RGB,16,3200,DDR4,149,https://brightstarcomp.com/collections/pc-components/products/pny-xlr8-epic-x-rgb-16gb-1x16gb-3200mhz-ddr4-dimm-memory-black?_pos=140&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
PNY,XLR8 Gaming EPIC-X RGB,8,3200,DDR4,99,https://brightstarcomp.com/collections/pc-components/products/pny-xlr8-epic-x-rgb-8gb-1x8gb-3200mhz-ddr4-dimm-memory-black-white?_pos=141&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03
PNY,XLR8 Gaming EPIC-X RGB,8,3200,DDR4,99,https://brightstarcomp.com/collections/pc-components/products/pny-xlr8-gaming-epic-x-rgb-ddr4-8gb-3200mhz-silver?_pos=142&_fid=26024e9c4&_ss=c,2025-03-18 22:11:03