Name,Brand,Type,Price (USD),CPU,GPU,Memory,Storage,Link
OMEN 35L Gaming Desktop GT16-0000t PC,HP,OEM,1399.99,"Intel® Core™ i5-14400F (up to 4.7 GHz with Intel® Turbo Boost Technology, 20 MB L3 cache, 10 cores, 16 threads)",NVIDIA® GeForce RTX™ 4060 (8 GB GDDR6X dedicated),Kingston FURY 16GB DDR5-6000 MT/s XMP RGB Heatsink (2 x 8 GB),512 GB PCIe® Gen4 NVMe™ Performance M.2 SSD,https://www.hp.com/us-en/shop/pdp/omen-35l-gaming-desktop-pc-9x560av-1
OMEN HP 45L Gaming Desktop GT22-3000t PC,HP,OEM,2299.99,"Intel® Core™ Ultra7 265K (up to 5.50 GHz with Intel® Turbo Boost Technology, 30 MB cache, 20 cores, 20 threads)",NVIDIA® GeForce RTX™ 4070 Super (12 GB GDDR6X dedicated),Kingston FURY 16GB DDR5-6000 MT/s XMP RGB Heatsink (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ Performance M.2 SSD,https://www.hp.com/us-en/shop/pdp/omen-by-hp-45l-gaming-desktop-gt22-3000t-pc-a4nd8av-1
Player: One,NZXT,IS,829.99,Intel Core i5-13400F,NVIDIA GeForce RTX 3050,16GB (2 x 8GB) DDR5 5200 MHz,1TB NVMe M.2 SSD,https://nzxt.com/product/player-one
Player: Two,NZXT,IS,"1,599.00",AMD Ryzen 5 7600X,NVIDIA GeForce RTX 4070,16GB (2 x 8GB) DDR5 5200 MHz,1TB NVMe M.2 SSD,https://nzxt.com/product/player-one
Player: Three,NZXT,IS,"2,299.00",Intel Core i7-13700KF,NVIDIA GeForce RTX 4070 Ti SUPER,32GB (2 x 16GB) DDR5 5200 MHz,1TB NVMe M.2 SSD,https://nzxt.com/product/player-three
Alienware Aurora R16 Gaming Desktop,Dell,OEM,"1,599.00",Intel® Core™ i7 14700F,NVIDIA® GeForce RTX™ 4060 Ti,16 GB DDR5,1 TB SSD,https://www.dell.com/en-us/shop/desktop-computers/alienware-aurora-r16-gaming-desktop/spd/alienware-aurora-r16-desktop/useahctor16i12
LOQ Gaming Tower 17IRR9,Lenovo,OEM,899.00,14th Generation Intel® Core™ i5-14400F Processor (E-cores up to 3.50 GHz P-cores up to 4.70 GHz),NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16 GB DDR5-4800MHz (UDIMM),512 GB SSD M.2 2280 PCIe Gen4 TLC,https://www.lenovo.com/us/en/p/desktops/loq-desktops/lenovo-loq-tower-17irr9/len102q0002?displayrulevalidation=false
Legion Tower 5 Gen 8 (AMD) with RTX 4070 Ti Super,Lenovo,OEM,"1,609.99",AMD Ryzen™ 7 7700 Processor (3.80 GHz up to 5.30 GHz),NVIDIA® GeForce RTX™ 4070 Ti SUPER 16GB GDDR6X,32 GB DDR5-5200MHz (UDIMM) - (2 x 16 GB),1 TB SSD M.2 2280 PCIe Gen4 Performance TLC,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/legion-tower-5-gen-8-amd/90ux0013us
Legion Tower 7i Gen 8 (Intel) with RTX 4080 Super,Lenovo,OEM,"2,349.99",14th Generation Intel® Core™ i9-14900KF Processor (E-cores up to 4.40 GHz P-cores up to 5.60 GHz),NVIDIA® GeForce RTX™ 4080 SUPER 16GB GDDR6X,32 GB DDR5-4000MHz (UDIMM) - (2 x 16 GB),1 TB SSD M.2 2280 PCIe Gen4 Performance TLC,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/legion-tower-7i-gen-8-intel/90v6000uus
RDY Slate VALORANT VCTA R002,iBUYPOWER,IS,"1,499.00",AMD Ryzen 7 7700X CPU,GeForce RTX 4060 Ti - 8GB,32GB DDR5-5600MHz RGB RAM,1TB M.2 NVMe SSD,https://www.ibuypower.com/store/rdy-slate-valorant-vcta-r002
RDY Slate 6M 001,iBUYPOWER,IS,"1,149.00",AMD Ryzen 7 5700 CPU,AMD Radeon RX 7600 - 8GB,16GB DDR4-3200 RGB RAM,1TB M.2 NVMe SSD,https://www.ibuypower.com/store/rdy-slate-6m-001
NEURON RTX4060,Origin,IS,"1,699.00",Intel Core i5-13600KF,NVIDIA GeForce RTX 4060 8GB,32GB 5600MT/s VENGEANCE RGB,1TB NVMe,https://www.originpc.com/prebuilt-gaming-pc/
NEURON RTX4080 SUPER,Origin,IS,"3,299.00",Intel Core i9-14900K 24-Cores up to 6.0 GHz,NVIDIA GeForce RTX 4080 SUPER,32GB DOMINATOR PLATINUM RGB DDR5 6000MHz,2TB NVMe,https://www.originpc.com/prebuilt-gaming-pc/
Horizon II PC,Starforge Systems,IS,999.00,Intel Core i5-12400F,AMD Radeon™ RX 6650 XT 8GB,Teamgroup Delta RGB 16GB DDR5 5600 CL40 (2x8GB),"1TB PCIe 4.0 NVME (min. 3,500 read)",https://starforgesystems.com/products/horizon-ii-pc